genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00380,129.93,102.08,NA,2.03,3.13,NA,NA,NA
TA00381,130.23,98.74,NA,1.87,3.13,NA,NA,NA
TA00382,130.35,107.27,NA,1.87,3.13,NA,NA,NA
TA00383,121.41,93.18,NA,2.14,3.37,NA,NA,NA
TA00384,NA,NA,NA,NA,NA,NA,NA,NA
TA00385,129.6,103.02,NA,2.14,1.13,NA,NA,NA
TA00386,130.75,104.93,NA,1.98,1.38,NA,NA,NA
TA00387,135.58,86.69,NA,1.86,5.09,NA,NA,NA
TA00388,119.34,96,NA,1.86,1.87,NA,NA,NA
TA00389,119.98,68.81,NA,1.86,3.16,NA,NA,NA
TA00390,119.48,71.29,NA,1.86,5.09,NA,NA,NA
TA00391,121.67,78.44,38.24,1.87,3.05,3.15,13.46,49.39
TA00392,122.38,70.71,NA,2.24,5.09,NA,NA,NA
TA00393,122.52,69.79,NA,1.97,0.58,NA,NA,NA
TA00394,122.52,83.14,NA,2.24,1.87,NA,NA,NA
TA00395,129.72,120.53,NA,NA,NA,NA,NA,NA
TA00396,131.32,107.07,NA,NA,NA,NA,NA,NA
TA00397,131.44,129.83,47.94,1.96,1.67,2.73,15.66,52.52
TA00398,131.26,125.8,47.07,1.96,1.72,2.78,15.74,50.92
