accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0101385,1984-1985,233,41.7,88.04
C0101400,1984-1985,233,44.1,102.17
C0101402,1984-1985,234,48.65,102.29
C0101403,1984-1985,235,44.2,88.96
C0101406,1984-1985,238,50.75,97.21
C0101423,1984-1985,234,43.1,102.17
C0101464,1984-1985,238,45.05,99.17
C0101464,1984-1985,241,43.85,100.54
C0101465,1984-1985,239,44.35,98.84
C0101505,1984-1985,242,45.05,96.88
C0101505,1984-1985,242,45.95,92.46
C0101513,1984-1985,237,45,93.88
C0101534,1984-1985,240,39.35,97.73
C0101535,1984-1985,240,44.95,109.71
C0101564,1984-1985,242,44.85,103.13
C0101565,1984-1985,240,43.15,92.13
C0101566,1984-1985,239,44.95,94.5
C0101567,1984-1985,234,46.15,101.5
C0101568,1984-1985,240,43.15,96.33
C0101569,1984-1985,238,43.8,101.96
C0101570,1984-1985,236,44.2,101.96
C0101584,1984-1985,234,51.5,102.79
C0101592,1984-1985,235,46.5,107.79
C0101593,1984-1985,237,48.8,115.63
C0101593,1984-1985,236,49.5,123.29
C0101629,1984-1985,234,37.55,101.84
C0101638,1984-1985,231,42.5,90
C0101639,1984-1985,242,40,104.25
C0101665,1984-1985,238,49,95.5
C0101666,1984-1985,233,46.8,91.25
C0101666,1984-1985,234,45.75,99.09
C0101666,1984-1985,235,47.3,97.25
C0102736,1984-1985,236,44.15,94.36
C0103365,1984-1985,236,49.1,100.5
C0100026,1985-1986,229,46.45,84.63
C0100034,1985-1986,233,47.4,100.5
C0100128,1985-1986,245,43.8,83
C0100142,1985-1986,238,52.7,102.25
C0100145,1985-1986,242,34.4,124.38
C0100208,1985-1986,237,50.5,105.25
C0100398,1985-1986,240,43.4,93.5
C0100403,1985-1986,239,35.7,84.38
C0100422,1985-1986,236,45,81.38
C0100431,1985-1986,230,45.6,81.88
C0100458,1985-1986,236,43.5,74.25
C0100519,1985-1986,238,46.6,106.38
C0100534,1985-1986,233,43.9,91
C0100544,1985-1986,232,53.9,78.5
C0100550,1985-1986,245,43.1,96.88
C0100584,1985-1986,232,45.2,99.88
C0101026,1985-1986,236,36.2,97.83
C0101031,1985-1986,245,49.2,86
C0101170,1985-1986,240,51.7,82.22
C0101195,1985-1986,236,36.8,95.13
C0101205,1985-1986,253,39.6,113.38
C0101214,1985-1986,233,50.6,96.5
C0101222,1985-1986,247,44.5,82.25
C0101252,1985-1986,240,51.3,96
C0101302,1985-1986,252,38,123.87
C0101343,1985-1986,237,48.6,98.13
C0101350,1985-1986,246,43.5,100.13
C0101516,1985-1986,238,39.7,110.38
C0101523,1985-1986,247,45.2,74.5
C0101593,1985-1986,236,49.7,121.13
C0101607,1985-1986,248,41.6,121.38
C0101608,1985-1986,236,38.5,87.63
C0101636,1985-1986,230,38.9,85.5
C0101638,1985-1986,229,50,77
C0101639,1985-1986,229,43,30
C0101647,1985-1986,235,47.5,94
C0101647,1985-1986,231,49.8,87
C0101665,1985-1986,236,59,99.5
C0101666,1985-1986,236,46.5,9.5
C0101666,1985-1986,230,46.5,82.25
C0102379,1985-1986,230,49.4,92.88
C0102473,1985-1986,239,44.9,90
C0102893,1985-1986,245,49.8,110.75
C0105851,1985-1986,239,44.8,81.63
C0100005,1986-1987,229,43,70.88
C0100019,1986-1987,227,44.6,78.63
C0100031,1986-1987,229,49.8,87.38
C0100105,1986-1987,237,43.6,90.63
C0100106,1986-1987,237,42,92.67
