experiment_id,instcode,genus,accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,flowering_date,plant_height,thousand_kernel_weight,sowing_beginning_of_heading,sowing_full_heading,sowing_end_of_heading,sowing_flowering,beginning_of_heading_full_heading,beginning_of_heading_end_of_heading,beginning_of_heading_flowering,full_heading_end_of_heading,full_heading_flowering,end_of_heading_flowering,name,description,campaign,site_name,longitude,latitude,remarks,days_to_heading
11001,POL003,Hordeum,40613,NA,NA,19780412,19780620,19780622,NA,NA,106,40.5,69,71,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40614,NA,NA,19780412,19780619,19780622,NA,NA,98,49.7,68,71,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40615,NA,NA,19780415,19780624,19780628,NA,NA,93,49.3,70,74,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,178
11001,POL003,Hordeum,40616,NA,NA,19780415,19780621,19780624,NA,NA,87,52.6,67,70,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40617,NA,NA,19780421,19780621,19780624,NA,NA,97,52.8,61,64,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40617,NA,NA,19780404,19780619,19780622,NA,NA,100,56.6,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40618,NA,NA,19780421,19780624,19780628,NA,NA,99,52.1,64,68,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,178
11001,POL003,Hordeum,40619,NA,NA,19780421,19780624,19780628,NA,NA,84,53.8,64,68,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,178
11001,POL003,Hordeum,40623,NA,NA,19780404,19780613,19780619,NA,NA,121,62.3,70,76,NA,NA,6,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,169
11001,POL003,Hordeum,40657,NA,NA,19780404,19780610,19780613,NA,NA,107,51,67,70,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,163
11001,POL003,Hordeum,40831,NA,NA,19780404,19780619,19780623,NA,NA,128,47.3,76,80,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,173
11001,POL003,Hordeum,41145,NA,NA,19780412,19780620,19780624,NA,NA,99,50,69,73,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,41151,NA,NA,19780404,19780619,19780622,NA,NA,102,59,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,41152,NA,NA,19780404,19780622,19780626,NA,NA,102,56.3,79,83,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,176
11001,POL003,Hordeum,41153,NA,NA,19780404,19780622,19780624,NA,NA,93,52.1,79,81,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,41154,NA,NA,19780404,19780627,19780702,NA,NA,140,61.7,84,89,NA,NA,5,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,182
11001,POL003,Hordeum,41155,NA,NA,19780404,19780620,19780623,NA,NA,126,52.1,77,80,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,173
11001,POL003,Hordeum,41156,NA,NA,19780404,19780617,19780620,NA,NA,115,56.4,74,77,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,170
11001,POL003,Hordeum,41157,NA,NA,19780404,19780620,19780624,NA,NA,102,63,77,81,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,41158,NA,NA,19780404,19780618,19780622,NA,NA,97,58.1,75,79,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,41159,NA,NA,19780404,19780622,19780626,NA,NA,104,52.5,79,83,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,176
