genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1669,160.18,115.84,41.26
167,NA,NA,NA
1670,167.08,120.03,38.37
1671,161.7,116.4,34.87
1672,158.94,117.78,41.36
1673,153.7,67.41,31.89
1674,166.7,133.91,37.31
1676,163.59,126.41,44.15
1677,157.8,71.53,40.2
1678,156.18,96.56,34.21
1679,159.18,91.25,40.96
168,NA,NA,NA
1680,158.8,96.28,38.6
1681,158.41,95.06,40.85
1682,NA,NA,NA
1683,160.56,117.95,43.1
1684,159.32,113.3,45.37
1685,167.84,142.27,39.97
1686,159.94,117.42,36.89
1687,170.18,138.89,39.74
1688,169.46,136.09,39.7
1689,169.08,107.09,37.17
169,NA,NA,NA
1690,158.94,121.6,44.45
1691,161.8,131.8,44.01
1692,159.56,126.94,46.95
1693,152.7,97.08,44.65
1694,165.08,122.26,43.57
1695,164.98,143.63,36.74
1696,165.7,139.09,38.73
1697,161.46,128.3,36.76
1698,167.7,115.07,34.24
1699,NA,NA,NA
17,NA,NA,NA
170,166.38,103.25,37.49
1700,164.94,100.35,29.6
1701,165.44,129.89,42.88
1702,166.05,131.75,38.63
1703,167.36,136.74,42.03
1704,169.04,134.48,38.91
1705,165.51,144.47,39.89
1706,164.23,116.4,40.27
1707,165.08,101.43,45.2
1708,166.7,140.96,40.67
1709,165.32,144.78,39.88
171,NA,NA,NA
1710,152.72,100.91,47.22
1711,160.56,133.28,43.23
1712,165.08,138.61,38.22
1713,167.08,133.13,38.61
1714,168.55,137.67,41.57
1715,166.7,139.25,37.12
1716,167.84,128.45,34.26
1717,159.56,118.8,43.84
1718,165.64,129.34,39.2
1719,165.46,129.57,38.51
172,NA,130.04,43.12
1720,162.64,133.8,41.74
1721,159.56,121.44,41.39
1722,163.7,135.06,39.02
1723,164.32,119.94,36.96
1724,170.7,139.07,34.39
1725,169.58,136.25,39.09
1726,171.32,133.94,46.24
1727,165.46,137.45,42.81
1728,167.23,136.44,33.37
1729,165.08,121.16,39.1
173,NA,NA,NA
1730,158.94,127.6,43.29
1731,166.46,132.61,32.86
1732,162.08,114.15,36.71
1733,162.7,125.26,47.49
1734,165.32,130.02,43.71
1735,165.08,133.56,43.98
1736,159.32,140.65,43.22
1737,159.32,125.56,40.47
1738,159.32,115.58,43.54
1739,159.32,134.42,44.63
174,158.81,124.26,42.12
1740,159.32,128.44,47.7
1741,162.08,134.94,34.5
1742,167.84,133.22,38.21
1743,158.94,137.92,44.52
1744,158.32,134.1,47.12
1745,161.46,144.14,50.79
1746,164.84,115.23,38.63
1747,166.81,142.17,40.41
1748,166.08,147.92,38.12
1749,155.94,127.27,41.46
175,NA,NA,NA
1750,164.7,99.04,42.81
1751,159.94,143.56,41.93
1752,153.32,109.28,NA
1753,167.84,137.58,41.81
1754,167.26,130.59,40.19
1755,164.61,125.26,39.79
1756,160.56,126.62,48.79
1757,NA,NA,NA
1758,165.08,121.77,43.96
1759,159.7,125.25,36.16
176,163.55,102.17,44.19
1760,NA,101.64,40.09
1761,164.98,132.14,37.01
1762,157.56,105.42,43.05
1763,157.03,70.71,33.81
1764,163.16,125.81,40.75
1765,153.8,70.67,38.43
1766,166.7,108.64,41.14
1767,160.56,76.71,39.65
1768,162.18,90.94,42.58
1769,156.58,80.34,42.52
177,153.32,104.68,45.12
1770,157.32,112.25,40.33
1771,158.05,117.24,40.7
1772,164.98,134.15,42.75
1773,159.77,136.1,38.52
1774,159.32,126.39,41.33
1775,165.26,122.39,38.77
1776,NA,NA,NA
1777,156.82,97.18,43.22
1778,156.25,78.17,44.31
1779,160.56,82.35,39.98
178,165.81,97.71,40.81
1780,NA,NA,NA
1781,158.08,101.2,43.65
1782,159.03,110.65,43.78
1783,159.43,108.49,39.4
1784,158.41,109.44,46.21
1785,159.25,118.59,47.42
1786,156.18,103.44,45.64
1787,162.43,137.98,44.24
1788,162.81,114.79,37.49
1789,NA,NA,NA
179,NA,102.83,42.55
1790,162.58,132.39,38.29
1791,161.15,131.96,39.43
1792,161.81,91.3,33.55
1793,158.58,92.45,40.08
1794,160.91,132.51,41.99
1795,NA,NA,NA
1796,161.08,135.74,43.2
1797,160.1,123.09,41.26
1798,162.56,130.23,39.52
1799,160.97,127.9,42.69
18,NA,NA,NA
180,NA,130.4,47.38
1800,162.48,112.43,39.94
1801,152.43,99.94,37.4
