genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-6654,137.15,89.07,599.44,44.36,6258.82,3.13
CGF-6655,137.01,88.1,579.51,41.17,5992.09,2.48
CGF-6656,139.36,94.77,579.17,42.94,6305.8,2.57
CGF-6657,139.98,86.31,568.55,38.63,5697.18,1.85
CGF-6658,139.11,86.38,570.5,39.19,6302.86,2.54
CGF-6659,137,88.75,573.84,44.64,6402.87,1.68
CGF-6660,NA,NA,NA,NA,NA,NA
CGF-6663,NA,NA,NA,NA,NA,NA
CGF-6665,NA,NA,NA,NA,NA,NA
CGF-6666,NA,NA,NA,NA,NA,NA
CGF-6668,NA,NA,NA,NA,NA,NA
CGF-6669,NA,NA,NA,NA,NA,NA
CGF-6671,NA,NA,NA,NA,NA,NA
CGF-6672,NA,NA,NA,NA,NA,NA
CGF-6673,NA,NA,NA,NA,NA,NA
CGF-6679,NA,NA,NA,NA,NA,NA
CGF-668,NA,NA,NA,NA,NA,NA
CGF-6680,NA,NA,NA,NA,NA,NA
CGF-6691,NA,NA,NA,NA,NA,NA
CGF-6720,NA,NA,NA,NA,NA,NA
CGF-6721,NA,NA,NA,NA,NA,NA
CGF-6733,NA,NA,NA,NA,NA,NA
CGF-6734,NA,NA,NA,NA,NA,NA
CGF-6735,137.34,94.28,NA,NA,NA,NA
CGF-6736,NA,NA,NA,NA,NA,NA
CGF-6749,NA,NA,NA,NA,NA,NA
CGF-6750,NA,NA,NA,NA,NA,NA
CGF-6772,NA,NA,NA,NA,NA,NA
CGF-6773,NA,NA,NA,NA,NA,NA
CGF-6774,NA,NA,NA,NA,NA,NA
CGF-6775,NA,NA,NA,NA,NA,NA
CGF-6777,NA,NA,NA,NA,NA,NA
CGF-6778,NA,NA,NA,NA,NA,NA
CGF-6779,NA,NA,NA,NA,NA,NA
CGF-6780,NA,NA,NA,NA,NA,NA
CGF-6781,NA,NA,NA,NA,NA,NA
CGF-6782,NA,NA,NA,NA,NA,NA
CGF-6783,NA,NA,NA,NA,NA,NA
CGF-6787,NA,NA,NA,NA,NA,NA
CGF-6788,NA,NA,NA,NA,NA,NA
