accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
IG 108475,AW_28739,NA,140,NA,110,CE9403,NA,1993-1994
IG 108517,AW_23076,NA,129,NA,100,CE9428,NA,1993-1994
IG 108518,AW_17457,NA,126,NA,98,CE9428,NA,1993-1994
IG 108520,AW_23077,NA,129,NA,108,CE9428,NA,1993-1994
IG 108524,AW_37228,NA,126,NA,103,CE9428,NA,1993-1994
IG 108533,AW_20268,NA,132,NA,98,CE9428,NA,1993-1994
IG 108538,AW_23078,NA,132,NA,103,CE9428,NA,1993-1994
IG 108557,AW_23079,NA,132,NA,98,CE9428,NA,1993-1994
IG 108567,AW_37229,NA,132,NA,100,CE9428,NA,1993-1994
IG 108569,AW_23080,NA,137,NA,98,CE9428,NA,1993-1994
IG 108585,AW_34451,NA,132,NA,108,CE9428,NA,1993-1994
IG 108713,AW_23084,NA,130,2.6,85,CE9402,NA,1993-1994
IG 108714,AW_17465,NA,138,1.4,78,CE9402,NA,1993-1994
IG 108715,AW_31695,NA,140,2.4,88,CE9402,NA,1993-1994
IG 108716,AW_23085,NA,134,2.2,83,CE9402,NA,1993-1994
IG 108717,AW_25902,NA,145,1.4,83,CE9402,NA,1993-1994
IG 108718,AW_31696,NA,132,2.8,88,CE9402,NA,1993-1994
IG 108719,AW_34458,NA,132,2,88,CE9402,NA,1993-1994
IG 108720,AW_37230,NA,134,1.8,80,CE9402,NA,1993-1994
IG 108721,AW_28782,NA,134,2.4,100,CE9402,NA,1993-1994
IG 108722,AW_31732,NA,130,2.4,88,CE9402,NA,1993-1994
IG 108723,AW_37260,NA,126,NA,103,CE9433,NA,1993-1994
IG 108724,AW_20309,NA,121,NA,108,CE9433,NA,1993-1994
IG 108725,AW_23124,NA,126,NA,78,CE9433,NA,1993-1994
IG 108727,AW_34498,NA,129,NA,100,CE9433,NA,1993-1994
IG 108728,AW_34499,NA,129,NA,93,CE9434,NA,1993-1994
IG 108729,AW_31733,NA,129,NA,103,CE9434,NA,1993-1994
IG 108730,AW_23125,NA,134,NA,83,CE9433,NA,1993-1994
IG 108732,AW_17512,NA,126,NA,105,CE9433,NA,1993-1994
IG 108733,AW_28783,NA,141,NA,88,CE9434,NA,1993-1994
IG 108736,AW_23126,NA,126,NA,75,CE9434,NA,1993-1994
IG 108737,AW_23127,NA,126,NA,75,CE9434,NA,1993-1994
IG 108740,AW_31734,NA,121,NA,105,CE9433,NA,1993-1994
IG 108742,AW_20311,NA,129,NA,83,CE9434,NA,1993-1994
IG 108746,AW_23128,NA,126,NA,93,CE9433,NA,1993-1994
IG 108748,AW_34501,NA,126,NA,83,CE9433,NA,1993-1994
IG 108749,AW_34502,NA,121,NA,84,CE9433,NA,1993-1994
IG 108752,AW_31735,NA,137,NA,60,CE9434,NA,1993-1994
IG 108753,AW_25947,NA,121,NA,95,CE9433,NA,1993-1994
IG 108754,AW_17514,NA,126,NA,88,CE9433,NA,1993-1994
IG 108755,AW_17515,NA,126,NA,90,CE9433,NA,1993-1994
IG 108756,AW_20312,NA,126,NA,73,CE9434,NA,1993-1994
IG 108757,AW_37262,NA,121,NA,68,CE9434,NA,1993-1994
IG 108758,AW_31736,NA,129,NA,78,CE9434,NA,1993-1994
IG 108759,AW_20313,NA,126,NA,85,CE9433,NA,1993-1994
IG 108760,AW_20314,NA,126,NA,68,CE9434,NA,1993-1994
IG 108761,AW_34503,NA,126,NA,73,CE9433,NA,1993-1994
