genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
IG 119156,NA,NA,NA
IG 119157,140.71,NA,37.66
IG 119158,NA,NA,NA
IG 119159,NA,92.18,33.06
IG 119161,NA,NA,NA
IG 119162,NA,NA,NA
IG 119163,NA,92.65,37.39
IG 119164,NA,90.32,39.87
IG 119165,139.51,95.48,39.07
IG 119166,137.63,103.91,34.13
IG 119167,137.66,100.32,38.66
IG 119168,NA,NA,NA
IG 119169,NA,NA,NA
IG 119170,NA,NA,NA
IG 119171,NA,84.53,36.88
IG 119172,140.08,102.17,NA
IG 119173,NA,NA,NA
IG 119174,NA,NA,NA
IG 119176,140.05,107.66,NA
IG 119177,NA,NA,NA
IG 119179,NA,93.28,39.66
IG 119180,137.72,92.96,33.41
IG 119181,NA,NA,NA
IG 119182,137.84,90.16,40.1
IG 119184,NA,NA,NA
IG 119185,140.82,96.92,37.86
IG 119186,NA,99.85,37.65
IG 119187,142.99,94.53,36.29
IG 119188,NA,NA,NA
IG 119189,NA,NA,NA
IG 119191,NA,NA,NA
IG 119192,NA,NA,NA
IG 119193,140.34,97.2,31.34
IG 119194,NA,NA,NA
IG 119195,NA,85.63,55.76
