accenumb,campaign,plant_height
CGN12291,1987-1987,120
CGN12292,1987-1987,125
CGN12293,1987-1987,110
CGN12294,1987-1987,145
CGN12296,1987-1987,115
CGN12297,1987-1987,110
CGN12298,1987-1987,115
CGN12299,1987-1987,105
CGN12300,1987-1987,130
CGN12749,1987-1987,65
CGN12751,1987-1987,80
CGN13141,1987-1987,100
CGN13142,1987-1987,140
CGN13143,1987-1987,115
CGN16049,1987-1987,95
CGN16053,1987-1987,125
CGN16056,1987-1987,135
CGN16059,1987-1987,105
CGN16060,1987-1987,90
CGN16061,1987-1987,110
CGN16062,1987-1987,110
CGN16070,1987-1987,105
CGN16071,1987-1987,50
CGN16072,1987-1987,70
CGN16094,1987-1987,105
CGN16095,1987-1987,115
CGN16100,1987-1987,150
CGN16103,1987-1987,105
CGN16105,1987-1987,130
CGN21063,1987-1987,130
CGN21064,1987-1987,105
CGN23086,1987-1987,80
CGN23460,1987-1987,75
CGN11945,1987-1988,100
CGN11946,1987-1988,110
CGN11947,1987-1988,120
CGN11948,1987-1988,110
CGN11949,1987-1988,85
CGN11950,1987-1988,80
CGN11951,1987-1988,95
CGN11952,1987-1988,115
CGN11953,1987-1988,100
CGN06125,1988-1988,120
CGN06131,1988-1988,85
CGN06191,1988-1988,105
CGN06203,1988-1988,100
CGN06397,1988-1988,120
CGN06544,1988-1988,140
CGN06548,1988-1988,105
CGN06597,1988-1988,85
CGN07975,1988-1988,115
CGN08319,1988-1988,120
CGN08392,1988-1988,120
CGN08409,1988-1988,135
CGN08424,1988-1988,110
CGN10392,1988-1988,85
CGN10394,1988-1988,105
CGN10395,1988-1988,115
CGN10396,1988-1988,95
CGN10397,1988-1988,125
CGN10399,1988-1988,120
CGN10400,1988-1988,125
CGN10401,1988-1988,100
CGN10402,1988-1988,100
CGN10405,1988-1988,80
CGN10406,1988-1988,95
CGN10407,1988-1988,90
CGN10408,1988-1988,105
CGN10412,1988-1988,125
CGN10413,1988-1988,125
CGN10414,1988-1988,120
CGN10417,1988-1988,100
CGN10418,1988-1988,115
CGN10419,1988-1988,95
CGN10422,1988-1988,125
CGN10424,1988-1988,115
CGN10425,1988-1988,100
CGN10439,1988-1988,115
CGN10474,1988-1988,110
CGN10475,1988-1988,125
CGN10478,1988-1988,90
CGN10482,1988-1988,110
CGN10492,1988-1988,130
CGN10495,1988-1988,105
CGN10495,1988-1988,95
CGN10496,1988-1988,110
CGN10497,1988-1988,130
CGN10497,1988-1988,105
CGN10498,1988-1988,105
CGN10499,1988-1988,100
CGN10499,1988-1988,105
CGN10500,1988-1988,100
CGN10520,1988-1988,120
CGN10540,1988-1988,100
CGN10541,1988-1988,110
CGN10542,1988-1988,100
CGN10543,1988-1988,100
CGN10544,1988-1988,100
CGN10545,1988-1988,100
CGN10547,1988-1988,110
CGN10548,1988-1988,110
CGN10549,1988-1988,100
CGN10550,1988-1988,100
CGN10551,1988-1988,105
CGN10552,1988-1988,110
CGN10553,1988-1988,85
CGN10556,1988-1988,95
CGN10558,1988-1988,100
CGN10559,1988-1988,80
CGN10561,1988-1988,100
CGN10566,1988-1988,75
CGN10567,1988-1988,70
CGN10577,1988-1988,75
CGN10587,1988-1988,85
CGN10593,1988-1988,90
CGN10594,1988-1988,100
CGN10600,1988-1988,105
CGN10610,1988-1988,110
CGN10611,1988-1988,115
CGN10614,1988-1988,115
CGN10616,1988-1988,110
CGN10622,1988-1988,100
CGN10625,1988-1988,100
CGN10626,1988-1988,90
CGN10628,1988-1988,110
CGN10629,1988-1988,105
CGN10633,1988-1988,100
CGN10634,1988-1988,105
CGN10637,1988-1988,100
CGN10638,1988-1988,100
CGN10639,1988-1988,110
CGN10640,1988-1988,105
CGN10642,1988-1988,105
CGN10649,1988-1988,105
CGN11166,1988-1988,100
CGN11167,1988-1988,60
CGN12026,1988-1988,80
CGN12052,1988-1988,80
CGN12054,1988-1988,90
CGN12055,1988-1988,90
CGN12056,1988-1988,85
CGN12060,1988-1988,95
CGN12062,1988-1988,80
CGN12068,1988-1988,80
CGN12070,1988-1988,80
CGN12071,1988-1988,70
CGN12074,1988-1988,85
CGN12075,1988-1988,75
CGN12076,1988-1988,85
CGN12077,1988-1988,85
CGN12078,1988-1988,90
CGN12080,1988-1988,85
CGN12086,1988-1988,75
CGN12093,1988-1988,85
CGN12094,1988-1988,85
CGN12096,1988-1988,110
CGN12101,1988-1988,120
CGN12102,1988-1988,110
CGN12104,1988-1988,115
CGN12106,1988-1988,110
CGN12108,1988-1988,115
