genotype,plant_height_BLUE
CGN02304,NA
CGN02305,NA
CGN02306,102.98
CGN02307,86.53
CGN02308,98.8
CGN02309,138.1
CGN02310,134.83
CGN02311,111.84
CGN02312,NA
CGN02313,NA
CGN02314,87.92
CGN02315,105.75
CGN02316,106.62
CGN02317,NA
CGN02318,NA
CGN02319,68.8
CGN02320,NA
CGN02321,NA
CGN02322,NA
CGN02325,92.92
CGN02326,86.84
CGN02327,NA
CGN02328,NA
CGN02329,87.61
CGN02330,NA
CGN02418,NA
CGN02419,NA
CGN02420,71.76
CGN02421,NA
CGN02422,81.76
CGN02423,NA
CGN02424,NA
CGN02425,71.72
CGN02426,NA
CGN02427,78.75
CGN02428,NA
CGN02429,NA
CGN02430,71.76
CGN02431,NA
CGN02432,NA
CGN02433,NA
CGN02434,NA
CGN02435,77.69
CGN02436,72.37
CGN02437,73.99
CGN02438,NA
CGN02439,68.94
CGN02440,NA
CGN02441,NA
CGN02442,NA
CGN02443,NA
CGN02444,77.83
CGN02445,71.76
CGN02446,64.86
CGN02447,80.8
CGN02448,NA
CGN02449,NA
CGN02450,71.49
CGN02451,NA
CGN02452,66.49
CGN02453,NA
CGN02454,74.87
CGN02455,81.62
CGN02456,NA
CGN02457,75.8
CGN02458,81.9
CGN02459,NA
CGN02460,77.58
CGN02461,80.89
CGN02462,NA
CGN02463,NA
CGN02464,NA
CGN02465,82.85
CGN02466,NA
CGN02467,86.76
CGN02468,NA
CGN02469,91.6
CGN02470,NA
CGN02471,87.85
CGN02472,88
CGN02473,NA
CGN02474,NA
CGN02475,NA
CGN02476,82.46
CGN02477,NA
CGN02478,80.22
CGN02479,NA
CGN02480,NA
CGN02481,NA
CGN02482,93.94
CGN02483,NA
CGN02484,NA
CGN02485,NA
CGN02486,NA
CGN02487,71.76
CGN02488,NA
CGN02489,NA
CGN02490,89.49
CGN02491,NA
CGN02492,NA
CGN02493,NA
CGN02494,NA
CGN02495,87.09
CGN02496,97.46
CGN02497,NA
CGN02498,82.76
CGN02499,NA
CGN02500,82.85
CGN02501,NA
CGN02502,NA
CGN02503,NA
CGN02504,NA
CGN02505,NA
CGN02506,NA
CGN02507,NA
CGN02508,NA
CGN02509,NA
CGN02510,NA
CGN02511,NA
CGN02512,NA
CGN02513,82.76
CGN02514,NA
CGN02515,NA
CGN02516,92.08
CGN02517,81.76
CGN02518,NA
CGN02519,NA
CGN02520,NA
CGN02521,NA
CGN02522,NA
CGN02523,NA
CGN02524,NA
CGN02525,NA
CGN02526,NA
CGN02527,NA
CGN02528,NA
CGN02529,NA
CGN02530,NA
CGN02531,NA
CGN02532,NA
CGN02533,NA
CGN02534,NA
CGN02535,NA
CGN02536,NA
CGN02537,NA
CGN02538,NA
CGN02539,NA
